Title,Company,Date Posted,Experience,Skills/Desc,Link
Senior Data Scientist at Pezesha,View Jobs at Pezesha,"Senior Data Scientist at PezeshaView Jobs in ICT / Telecommunication/View Jobs at Pezesha:Jan 5, 2026Deadline:Not specifiedSaveEmail","with machine learning frameworks (TensorFlow, Scikit-learn, XGBoost, etc.).",N/A,https://www.myjobmag.co.ke/job/senior-data-scientist-pezesha-1
Data Analysis Trainee at Capwell Industries Ltd,View Jobs at Capwell Industries Ltd,"Data Analysis Trainee at Capwell Industries LtdView Jobs in Manufacturing / Production / FMCG/View Jobs at Capwell Industries Ltd:Jan 5, 2026Deadline:Not specifiedSaveEmail",,N/A,https://www.myjobmag.co.ke/job/data-analysis-trainee-capwell-industries-ltd
Fraud & Cybersecurity Analyst (Data & Investigation Focused) at Kingdom Bank Limited,View Jobs at Kingdom Bank Limited,"Fraud & Cybersecurity Analyst (Data & Investigation Focused) at Kingdom Bank LimitedView Jobs in Banking / Financial Services/View Jobs at Kingdom Bank Limited:Dec 31, 2025Deadline:Jan 14, 2026SaveEmail",with data analysis tools and transaction monitoring systems,N/A,https://www.myjobmag.co.ke/job/fraud-cybersecurity-analyst-data-investigation-focused-kingdom-bank-limited
"Consultancy: Data Analysis, Reporting and Dissemination at Dignitas Project",View Jobs at Dignitas Project,"Consultancy: Data Analysis, Reporting and Dissemination at Dignitas ProjectView Jobs in Education / Teaching/View Jobs at Dignitas Project:Dec 30, 2025Deadline:Jan 5, 2026SaveEmail",,N/A,https://www.myjobmag.co.ke/job/consultancy-data-analysis-reporting-and-dissemination-dignitas-project
"Senior Manager – Information Security Governance, Data Protection and Compliance at HF Group",View Jobs at HF Group,"Senior Manager – Information Security Governance, Data Protection and Compliance at HF GroupView Jobs in Banking / Financial Services/View Jobs at HF Group:Dec 30, 2025Deadline:Jan 7, 2026SaveEmail",7 years,N/A,https://www.myjobmag.co.ke/job/senior-manager-information-security-governance-data-protection-and-compliance-hf-group
Data Clerk at AVSI Foundation,View Jobs at AVSI Foundation,"Data Clerk at AVSI FoundationView Jobs in NGO / Non-Profit Associations/View Jobs at AVSI Foundation:Dec 25, 2025Deadline:Not specifiedSaveEmail",with data cleaning and analysis,N/A,https://www.myjobmag.co.ke/job/data-clerk-avsi-foundation
Trainer - Data Communication & Networking at Kaimosi Friends National Polytechnic,View Jobs at Kaimosi Friends National Polytechnic,"Trainer - Data Communication & Networking at Kaimosi Friends National PolytechnicView Jobs in Education / Teaching/View Jobs at Kaimosi Friends National Polytechnic:Dec 24, 2025Deadline:Dec 30, 2025SaveEmail",,N/A,https://www.myjobmag.co.ke/job/trainer-data-communication-networking-kaimosi-friends-national-polytechnic
"Business Analyst 2, Data Analytics (Business Analyst 2) at Central Bank of Kenya",View Jobs at Central Bank of Kenya,"Business Analyst 2, Data Analytics (Business Analyst 2) at Central Bank of KenyaView Jobs in Banking / Financial Services/View Jobs at Central Bank of Kenya:Dec 23, 2025Deadline:Jan 12, 2026SaveEmail",1 year,N/A,https://www.myjobmag.co.ke/job/business-analyst-2-data-analytics-business-analyst-2-central-bank-of-kenya
"Business Analyst (Data Scientist), Regulatory Technology (Business Analyst 2) at Central Bank of Kenya",View Jobs at Central Bank of Kenya,"Business Analyst (Data Scientist), Regulatory Technology (Business Analyst 2) at Central Bank of KenyaView Jobs in Banking / Financial Services/View Jobs at Central Bank of Kenya:Dec 23, 2025Deadline:Jan 12, 2026SaveEmail",1 year,N/A,https://www.myjobmag.co.ke/job/business-analyst-data-scientist-regulatory-technology-business-analyst-2-central-bank-of-kenya
Data & Insights Officer at Dignitas,View Jobs at Dignitas,"Data & Insights Officer at DignitasView Jobs in Education / Teaching/View Jobs at Dignitas:Dec 23, 2025Deadline:Jan 5, 2026SaveEmail","designing, maintaining, and using data visualization tools (e.g., Power BI, Looker Studio, Tableau).",N/A,https://www.myjobmag.co.ke/job/data-insights-officer-dignitas
